Nombre,Posición,País,Dorsal,Edad,Altura,Valor
Nicolás Diez,Coach,Argentina,,48,,
Diego Rodriguez,GK,Argentina,50,35,184 cm,€350K
Gonzalo Siri Payer,GK,Argentina,12,22,183 cm,€50K
Agustin Mangiaut,GK,Argentina,1,20,185 cm,€15K
Leandro Lozano,"RB, RM",Uruguay,22,26,169 cm,€3M
Kevin Coronel,RB,Argentina,14,20,168 cm,€75K
Erik Fernando Godoy,CB,Argentina,4,31,184 cm,€1M
"Luciano Sanchez
Dislocated kneecap - Mid May 2025",CB,Argentina,3,31,169 cm,€300K
Francisco Alvarez,CB,Argentina,16,25,180 cm,€1.7M
Mateo Antoni,CB,Uruguay,33,22,181 cm,€950K
Tobias Ramirez,CB,Argentina,2,18,185 cm,€4.3M
Sebastian Prieto,"LB, LM",Argentina,20,32,180 cm,€20K
Roman Vega,"LB, CB",Argentina,6,21,177 cm,€2.3M
Alan Rodriguez,"DM, CM, RW",Uruguay,8,25,171 cm,€1.4M
Nicolas Oroz,"CM, DM, LM, LW",Argentina,21,31,173 cm,€720K
Francisco Ilarregui,CM,Argentina,,28,178 cm,€100K
Federico Fattori,"CM, DM, CB",Argentina,24,32,178 cm,€800K
Alan Lescano,"CM, RW, AM, RM, DM",Argentina,10,23,182 cm,€1.6M
Juan Cardozo,CM,Paraguay,5,21,184 cm,€50K
Lucas Gomez,"CM, LW",Argentina,25,20,181 cm,
Ariel Gamarra,"CM, DM",Paraguay,15,22,170 cm,€300K
Diego Porcel,Midfielder,Argentina,31,20,176 cm,
Luis Fernando Alvarez,Midfielder,Argentina,28,20,174 cm,
Cristian Ferreira,AM,Argentina,17,25,175 cm,€1.5M
Emiliano Viveros,"LW, CM, LM",Argentina,29,22,178 cm,€350K
Victor Ismael Sosa,"LW, ST",Argentina,18,38,179 cm,€60K
Manuel Brondo,Attacker,Argentina,30,23,,€30K
Ruben Bentancourt,ST,Uruguay,19,32,186 cm,
"Maximiliano Romero
Hamstring injury - Mid May 2025","ST, LW",Argentina,9,26,179 cm,€2.5M
Santiago Rodriguez,ST,Argentina,7,27,171 cm,€1.6M
Joaquin Ardaiz,ST,Uruguay,13,26,182 cm,€400K
Tomas Molina,"ST, LW",Argentina,27,30,183 cm,€1.3M
Jose Herrera,"ST, LW, LM, AM",Argentina,11,22,172 cm,€250K
