Zona,Pos,Equipo,PJ,GF-GC,DG,PTS,Forma,Next
Apertura - Zona A,1,Argentinos JuniorsArgentinos Juniors,16,9,6,1,24-9,+15
Apertura - Zona A,2,Boca JuniorsBoca Juniors,16,10,3,3,24-11,+13
Apertura - Zona A,3,Racing ClubRacing Club,16,9,1,6,26-16,+10
Apertura - Zona A,4,HuracanHuracan,16,7,6,3,19-12,+7
Apertura - Zona A,5,TigreTigre,16,8,3,5,18-12,+6
Apertura - Zona A,6,Independiente RivadaviaIndependiente Rivadavia,16,7,6,3,20-17,+3
Apertura - Zona A,7,Barracas CentralBarracas Central,16,7,5,4,20-18,+2
Apertura - Zona A,8,EstudiantesEstudiantes,16,5,6,5,18-19,-1
Apertura - Zona A,9,Newell's Old BoysNewell's Old Boys,16,5,4,7,12-15,-3
Apertura - Zona A,10,Defensa y JusticiaDefensa y Justicia,16,5,4,7,18-22,-4
Apertura - Zona A,11,Central Cordoba de SantiagoCentral Cordoba de Santiago,16,5,3,8,21-22,-1
Apertura - Zona A,12,BelgranoBelgrano,16,3,8,5,13-23,-10
Apertura - Zona A,13,AldosiviAldosivi,16,4,3,9,18-28,-10
Apertura - Zona A,14,BanfieldBanfield,16,3,5,8,14-19,-5
Apertura - Zona A,15,UnionUnion,16,3,5,8,11-17,-6
Apertura - Zona B,1,Rosario CentralRosario Central,16,10,5,1,22-8,+14
Apertura - Zona B,2,River PlateRiver Plate,16,8,7,1,21-9,+12
Apertura - Zona B,3,IndependienteIndependiente,16,8,5,3,23-12,+11
Apertura - Zona B,4,San LorenzoSan Lorenzo,16,7,6,3,14-10,+4
Apertura - Zona B,5,Deportivo RiestraDeportivo Riestra,16,5,9,2,13-7,+6
Apertura - Zona B,6,Club Atletico PlatenseClub Atletico Platense,16,6,5,5,13-11,+2
Apertura - Zona B,7,LanusLanus,16,4,8,4,13-11,+2
Apertura - Zona B,8,InstitutoInstituto,16,5,3,8,16-20,-4
Apertura - Zona B,9,Godoy CruzGodoy Cruz,16,3,8,5,8-18,-10
Apertura - Zona B,10,Atletico TucumanAtletico Tucuman,16,5,1,10,17-21,-4
Apertura - Zona B,11,Gimnasia LPGimnasia LP,16,4,4,8,9-18,-9
Apertura - Zona B,12,SarmientoSarmiento,16,2,9,5,11-19,-8
Apertura - Zona B,13,Velez SarsfieldVelez Sarsfield,16,4,2,10,7-22,-15
Apertura - Zona B,14,TalleresTalleres,16,2,7,7,11-15,-4
Apertura - Zona B,15,San Martin San JuanSan Martin San Juan,16,2,3,11,5-18,-13
